下方検出モード,,,,,,,
,,移動パターン,,,,,,
,,0->-45,-45->0,0->-45,-45->0,0->-45,-45->0
計測角度,0,1,8,,16,,24
,-2.5,,,,,,,23
,-5,,,9,,,,
,-7.5,,,,,15,,
,-10,,,,,17,,
,-12.5,,,7,,,,
,-15,2,,,,,,
,-17.5,,,,,,,22
,-20,,,10,,,,
,-22.5,,,,,14,,
,-25,,,,,,18,
,-27.5,,,6,,,,
,-30,3,,,,,,
,-32.5,,,,,,,21
,-35,,,11,,,,
,-37.5,,,,,13,,
,-40,,,,,,19,
,-42.5,,5,,,,,
,-45,4,,12,,20,,
上方検出モード,,,,,,,
,,移動パターン,,,,,,
,,0->45,45->0,0->45,45->0,0->45,45->0
計測角度,0,1,8,,16,,24
,2.5,,,,,,,23
,5,,,9,,,,
,7.5,,,,,15,,
,10,,,,,17,,
,12.5,,,7,,,,
,15,2,,,,,,
,17.5,,,,,,,22
,20,,,10,,,,
,22.5,,,,,14,,
,25,,,,,,18,
,27.5,,,6,,,,
,30,3,,,,,,
,32.5,,,,,,,21
,35,,,11,,,,
,37.5,,,,,13,,
,40,,,,,,19,
,42.5,,5,,,,,
,45,4,,12,,20,,
